Song,Artist ,Album , Cover art,Year
Godspeed,Frank Ocean,Blonde,https://cdns-images.dzcdn.net/images/cover/aa7e6de00b0810f5051aa60b489f58d8/1900x1900-000000-80-0-0.jpg,2016
Boyz Dont Cry,Rod Wave ,Nostalgia,https://upload.wikimedia.org/wikipedia/en/6/65/Rod_Wave_-_Nostalgia.png,2023
Wildflower,Billie Eilis, Hit Me Hard and Soft,https://albumart.publicradio.org/mb/02/02a544b3-0459-42c7-bd9c-047162e7b67a_5875.jpg,2024
Pray for you ,Jhene Aiko ,Chilombo,https://i.ytimg.com/vi/QVDj_nzgSkI/mqdefault.jpg,2020
REAL WOMAN,Partynextdoor,"
PARTYNEXTDOOR 4 (P4)",https://stupiddope.com/wp-content/uploads/2024/03/PARTYNEXTDOOR-Drops-New-Single-22R-e-a-l-W-o-m-a-n22-2024-Release-1200x900.png,2024
Passionfruit,Drake,More Life,https://media.pitchfork.com/photos/5929f3abc0084474cd0c5732/1:1/w_450%2Cc_limit/6f8440e9.jpg,2017
Sorrows ,Bryson Tiller,A N N I V E R S A R Y,https://i1.sndcdn.com/artworks-e5klfIO5Hx41-0-t500x500.jpg,2020
Be Free,A boogie with da hoodie ,B4 AVA,https://i.ytimg.com/vi/603nudxFUlk/maxresdefault.jpg,2021
Selfish,Pnb Rock (rip),GTTM: Goin Thru the Motions,https://m.media-amazon.com/images/I/61cPeCVZEZL._UXNaN_FMjpg_QL85_.jpg,
248,Lil Durk,Just Cause Yall Waited 2 ,https://i1.sndcdn.com/artworks-zpzaEPT5gI7vEwoC-MltqZQ-t500x500.jpg,2020
